PLACE_NAME,FEATURE,LONGITUDE,LATITUDE,geometry,suburb,postcode
RICHMOND SECONDARY COLLEGE,SECONDARY SCHOOL,145.0028,-37.817,POINT (2500246.525837368 2409290.1946938448),RICHMOND,3121.0
FRANKSTON HIGH SCHOOL,SECONDARY SCHOOL,145.129,-38.16,POINT (2511312.3801977835 2371204.219985041),FRANKSTON SOUTH,3199.0
WILLIAMSTOWN HIGH SCHOOL,SECONDARY SCHOOL,144.8855,-37.864,POINT (2489928.673104938 2404009.9683431303),WILLIAMSTOWN,3016.0
MCKINNON SECONDARY COLLEGE,SECONDARY SCHOOL,145.0648,-37.911,POINT (2505700.871702871 2398855.230418247),BENTLEIGH EAST,3165.0
MOUNT WAVERLEY SECONDARY COLLEGE,SECONDARY SCHOOL,145.1323,-37.869,POINT (2511641.303375354 2403546.2171976008),MOUNT WAVERLEY,3149.0
CATHOLIC COLLEGE SALE,SECONDARY SCHOOL,147.0637,-38.108,POINT (2680991.1124854507 2374995.5805174345),SALE,3850.0
EMMANUEL COLLEGE,SECONDARY SCHOOL,144.7442,-37.883,POINT (2477499.5121317967 2401919.1603414984),POINT COOK,3030.0
BALLARAT SECONDARY COLLEGE - WENDOUREE CAMPUS,SECONDARY SCHOOL,143.8344,-37.519,POINT (2396977.9296419127 2441752.965464838),WENDOUREE,3355.0
TRARALGON COLLEGE,SECONDARY SCHOOL,146.5194,-38.191,POINT (2633115.736617603 2366712.7794465376),TRARALGON,3844.0
RESERVOIR DISTRICT SECONDARY COLLEGE RESERVOIR CAMPUS,SECONDARY SCHOOL,145.0297,-37.722,POINT (2502624.411030754 2419850.0347663537),RESERVOIR,3073.0
RICHMOND HIGH SCHOOL - GLEADELL STREET CAMPUS,SECONDARY SCHOOL,145.0026,-37.817,POINT (2500236.8408832103 2409291.304848113),RICHMOND,3121.0
HAWKESDALE P12 COLLEGE,SECONDARY SCHOOL,142.3182,-38.106,POINT (2264815.054699233 2373888.837894351),HAWKESDALE,3287.0
HORSHAM SECONDARY COLLEGE,SECONDARY SCHOOL,142.1841,-36.711,POINT (2248480.385205408 2528273.71173824),HORSHAM,3400.0
IRYMPLE TECHNICAL SCHOOL,SECONDARY SCHOOL,142.1647,-34.232,POINT (2238554.4313813383 2803256.4817109574),IRYMPLE,3498.0
Port Melbourne Secondary College,SECONDARY SCHOOL,144.9318,-37.832,POINT (2493997.3504982237 2407666.517351388),PORT MELBOURNE,3207.0
Greenvale Secondary College,SECONDARY SCHOOL,144.8905,-37.65,POINT (2490344.7564292247 2427835.573197905),GREENVALE,3059.0
Wurun Senior Campus,SECONDARY SCHOOL,144.9836,-37.792,POINT (2498555.5818336667 2412032.5589381848),FITZROY NORTH,3065.0
Clyde Secondary College,SECONDARY SCHOOL,145.3381,-38.128,POINT (2529647.105627159 2374684.741693247),CLYDE,3978.0
MIDLANDS SECONDARY COLLEGE SENIOR CAMPUS,SECONDARY SCHOOL,143.8926,-37.534,POINT (2402140.0767309866 2440110.998182373),NERRINA,
ST PAULS TRARALGON CAMPUS,SECONDARY SCHOOL,146.5182,-38.183,POINT (2633018.542304015 2367595.837891927),TRARALGON,3844.0
SPRINGSIDE WEST SECONDARY COLLEGE,SECONDARY SCHOOL,144.7278,-37.715,POINT (2476007.9826452537 2420545.3127191123),FRASER RISE,3037.0
PRESTON HIGH SCHOOL,SECONDARY SCHOOL,145.0064,-37.741,POINT (2500564.053897725 2417694.015296215),PRESTON,3072.0
WARRAGUL HIGH SCHOOL,SECONDARY SCHOOL,145.9223,-38.167,POINT (2580833.0827739113 2370087.6626695544),WARRAGUL,3820.0
ST ALBANS SECONDARY COLLEGE - STRATHBOGIE CAMP,SECONDARY SCHOOL,145.8099,-36.821,POINT (2572254.1479421197 2519471.1226030868),CREEK JUNCTION,
BENTON JUNIOR COLLEGE,SECONDARY SCHOOL,145.0611,-38.245,POINT (2505350.7907770057 2361723.4346285025),MORNINGTON,3931.0
BETHEL CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.2345,-36.439,POINT (2521026.708293983 2562116.870758483),TATURA,3616.0
WILLIAM RUTHVEN SECONDARY COLLEGE,SECONDARY SCHOOL,145.0027,-37.696,POINT (2500244.2756245434 2422690.4862835035),RESERVOIR,3074.0
CORIO SECONDARY COLLEGE,SECONDARY SCHOOL,144.3526,-38.081,POINT (2443202.5320904497 2379813.5532770483),CORIO,3214.0
KARINGAL HIGH SCHOOL,SECONDARY SCHOOL,145.1468,-38.14,POINT (2512870.644247663 2373429.831028927),FRANKSTON,3199.0
ALTONA NORTH HIGH SCHOOL,SECONDARY SCHOOL,144.8466,-37.836,POINT (2486503.501621082 2407112.845743214),ALTONA NORTH,3025.0
BAYSIDE SECONDARY COLLEGE WILLIAMSTOWN CAMPUS,SECONDARY SCHOOL,144.8863,-37.858,POINT (2490002.5517753605 2404774.775038559),WILLIAMSTOWN,3016.0
MORTLAKE SECONDARY COLLEGE,SECONDARY SCHOOL,142.8109,-38.086,POINT (2307970.0193795906 2377243.8051786143),MORTLAKE,3272.0
MURRAYVILLE HIGH SCHOOL,SECONDARY SCHOOL,141.1782,-35.265,POINT (2152234.6122619556 2685461.315864835),MURRAYVILLE,3512.0
MILDURA TECHNICAL SCHOOL,SECONDARY SCHOOL,142.1479,-34.195,POINT (2236892.3104490177 2807272.6497077923),MILDURA,3500.0
MANSFIELD SECONDARY COLLEGE,SECONDARY SCHOOL,146.0885,-37.062,POINT (2596799.1035232856 2492491.5045326),MANSFIELD,3722.0
SWAN HILL SECONDARY COLLEGE,SECONDARY SCHOOL,143.5528,-35.335,POINT (2368403.347648452 2683724.0336864777),SWAN HILL,3585.0
BALMORAL K-12 COMMUNITY COLLEGE,SECONDARY SCHOOL,141.8273,-37.24,POINT (2218584.218031295 2468619.226641929),HARROW,3407.0
BAYSIDE CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.163,-38.178,POINT (2514285.362213822 2369184.8996286094),LANGWARRIN,3911.0
BETH RIVKAH LADIES COLLEGE,SECONDARY SCHOOL,145.0008,-37.869,POINT (2500073.906335238 2403534.327635944),ST KILDA EAST,3183.0
CAMBERWELL GRAMMAR SCHOOL,SECONDARY SCHOOL,145.0664,-37.816,POINT (2505847.193070035 2409435.7730494253),CANTERBURY,3103.0
CHRISTIAN COLLEGE BELLARINE,SECONDARY SCHOOL,144.5735,-38.171,POINT (2462629.8769467333 2369958.1906429725),DRYSDALE,3222.0
COVENANT COLLEGE,SECONDARY SCHOOL,144.318,-38.097,POINT (2440176.048482806 2378023.0178025803),BELL POST HILL,3215.0
CREEK STREET CHRISTIAN COLLEGE,SECONDARY SCHOOL,144.2715,-36.765,POINT (2434973.512442166 2525768.8753824234),BENDIGO,3550.0
CHRIST THE KING ANGLICAN COLLEGE,SECONDARY SCHOOL,145.66,-35.924,POINT (2559571.2224917924 2619153.552652955),COBRAM,3644.0
MARIBYRNONG HIGH SCHOOL,SECONDARY SCHOOL,144.8882,-37.779,POINT (2490155.116913886 2413489.699376392),MARIBYRNONG,3011.0
BOX FOREST SECONDARY COLLEGE OAK PARK CAMPUS,SECONDARY SCHOOL,144.9257,-37.714,POINT (2493449.299484003 2420732.423057195),OAK PARK,3046.0
OAKLEIGH HIGH SCHOOL,SECONDARY SCHOOL,145.1165,-37.902,POINT (2510248.3023616765 2399795.438613734),OAKLEIGH EAST,3166.0
OAKLEIGH SECONDARY COLLEGE,SECONDARY SCHOOL,145.0754,-37.905,POINT (2506632.614058382 2399490.526956342),HUGHESDALE,3167.0
Oberon High School,SECONDARY SCHOOL,144.3653,-38.23,POINT (2444429.2146320115 2363218.3922241824),ARMSTRONG CREEK,3217.0
WINDSOR TECHNICAL SCHOOL,SECONDARY SCHOOL,144.9959,-37.856,POINT (2499646.2417941405 2404919.4699790757),WINDSOR,3181.0
WODONGA HIGH SCHOOL,SECONDARY SCHOOL,146.881,-36.125,POINT (2669316.0010319017 2595346.8494351488),WODONGA,3690.0
MITCHELL SECONDARY COLLEGE,SECONDARY SCHOOL,146.8907,-36.13,POINT (2670173.941334605 2594798.264290169),WODONGA,3690.0
WODONGA WEST COLLEGE,SECONDARY SCHOOL,146.8795,-36.117,POINT (2669202.0878330134 2596234.712792117),WODONGA,3690.0
Holy Eucharist Primary School,SECONDARY SCHOOL,145.0694,-37.884,POINT (2506109.3419277556 2401880.564860004),MALVERN EAST,3145.0
KANIVA COLLEGE,SECONDARY SCHOOL,141.2448,-36.382,POINT (2163184.186684237 2561849.087655863),KANIVA,3419.0
KERANG CHRISTIAN COLLEGE,SECONDARY SCHOOL,143.9134,-35.73,POINT (2401690.647697111 2640310.1533327587),KERANG,3579.0
LAKESIDE LUTHERAN COLLEGE,SECONDARY SCHOOL,145.4559,-38.064,POINT (2540010.795141378 2381723.492405474),PAKENHAM,3810.0
LIGHTHOUSE CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.1435,-38.001,POINT (2512604.631165833 2388882.6095734686),KEYSBOROUGH,3172.0
LIGHTHOUSE CHRISTIAN COLLEGE CRANBOURNE,SECONDARY SCHOOL,145.3073,-38.14,POINT (2526940.702382881 2373440.6752335466),CRANBOURNE EAST,3978.0
MELTON CHRISTIAN COLLEGE,SECONDARY SCHOOL,144.5602,-37.7,POINT (2461225.6692015594 2422202.5189329945),BROOKFIELD,3338.0
MILDURA CHRISTIAN COLLEGE,SECONDARY SCHOOL,142.1453,-34.247,POINT (2236819.0407977933 2801529.4225052297),IRYMPLE,3498.0
MT HIRA COLLEGE,SECONDARY SCHOOL,145.1754,-38.013,POINT (2515409.9693027996 2387458.2580810413),KEYSBOROUGH,3175.0
MURTOA COLLEGE,SECONDARY SCHOOL,142.4757,-36.623,POINT (2274265.0664385227 2538785.0640065633),MURTOA,3390.0
NORTHSIDE CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.0546,-37.695,POINT (2504822.118142511 2422874.445020953),BUNDOORA,3083.0
OLIVET CHRISTIAN COLLEGE,SECONDARY SCHOOL,144.2054,-37.088,POINT (2429367.4844559873 2489887.3477829657),CAMPBELLS CREEK,3450.0
PRESBYTERIAN LADIES COLLEGE,SECONDARY SCHOOL,145.107,-37.848,POINT (2509417.8452608874 2405828.7355234306),BURWOOD,3125.0
RIVER CITY CHRISTIAN COLLEGE,SECONDARY SCHOOL,144.7317,-36.144,POINT (2475860.6926696454 2594856.372825751),ECHUCA,3654.0
ST ANDREWS CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.2446,-37.873,POINT (2521523.288993777 2402998.3388023805),WANTIRNA SOUTH,3180.0
ST THOMAS AQUINAS COLLEGE,SECONDARY SCHOOL,145.6236,-38.083,POINT (2554719.3257494736 2379608.749232848),TYNONG,3813.0
TRINITY LUTHERAN COLLEGE,SECONDARY SCHOOL,142.1287,-34.201,POINT (2235141.202071182 2806569.0099930577),MILDURA,3500.0
GILSON COLLEGE,SECONDARY SCHOOL,144.7631,-37.724,POINT (2479121.7331436127 2419565.8834078517),TAYLORS HILL,3037.0
KINGSWOOD COLLEGE,SECONDARY SCHOOL,145.1186,-37.832,POINT (2510442.692619697 2407580.0304572564),BOX HILL SOUTH,3128.0
OXLEY CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.3043,-37.762,POINT (2526813.2425378044 2415294.97830847),CHIRNSIDE PARK,3116.0
SCOTCH COLLEGE,SECONDARY SCHOOL,145.0322,-37.833,POINT (2502842.3617876875 2407458.4180808645),HAWTHORN,3122.0
THE PENINSULA SCHOOL,SECONDARY SCHOOL,145.0907,-38.198,POINT (2507945.444183151 2367024.26916366),MOUNT ELIZA,3930.0
YESHIVAH COLLEGE,SECONDARY SCHOOL,145.0003,-37.868,POINT (2500030.7943248 2403663.076020711),ST KILDA EAST,3183.0
DARUL ULUM COLLEGE OF VICTORIA,SECONDARY SCHOOL,144.9717,-37.705,POINT (2497504.6126413797 2421746.7698398735),FAWKNER,3060.0
DONVALE CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.1934,-37.774,POINT (2517043.025853369 2414088.5827132817),DONVALE,3111.0
BRIGHTON GRAMMAR SCHOOL,SECONDARY SCHOOL,144.9935,-37.911,POINT (2499431.0530850217 2398891.5597917996),BRIGHTON,3186.0
GOOD NEWS LUTHERAN COLLEGE,SECONDARY SCHOOL,144.6666,-37.855,POINT (2470661.322827547 2405041.248706843),TARNEIT,3029.0
GEELONG BAPTIST COLLEGE,SECONDARY SCHOOL,144.3302,-38.067,POINT (2441230.61629623 2381367.276840821),LOVELY BANKS,3214.0
WODONGA MIDDLE YEARS COLLEGE - FLYING FRUIT FLY CIRCUS SCHOOL,SECONDARY SCHOOL,146.8621,-36.127,POINT (2667608.935409435 2595208.391912764),WEST WODONGA,3690.0
YUILLE PARK P-8 COMMUNITY COLLEGE - GREVILLEA CAMPUS,SECONDARY SCHOOL,143.82,-37.527,POINT (2395718.6952599715 2440788.5425909553),WENDOUREE,3355.0
ISIK COLLEGE - SHEPPARTON CAMPUS,SECONDARY SCHOOL,145.4917,-36.364,POINT (2544127.282060451 2570435.9240239076),LEMNOS,
CARRANBALLAC P-9 COLLEGE - JAMIESON WAY CAMPUS,SECONDARY SCHOOL,144.7456,-37.895,POINT (2477625.2246488715 2400633.108482059),POINT COOK,3030.0
OVERNEWTON ANGLICAN COMMUNITY COLLEGE - KEILOR MAIN CAMPUS,SECONDARY SCHOOL,144.8231,-37.706,POINT (2484409.8578700866 2421580.617203301),KEILOR,3036.0
FLINDERS CHRISTIAN COMMUNITY COLLEGE - TRARALGON CAMPUS,SECONDARY SCHOOL,146.5511,-38.208,POINT (2635859.1480669095 2364723.4235164067),TRARALGON,3844.0
SOUTH COAST CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.9608,-38.47,POINT (2583868.1690941146 2336401.7499817153),LEONGATHA,3953.0
FLINDERS CHRISTIAN COMMUNITY COLLEGE - MAIN CAMPUS,SECONDARY SCHOOL,145.1679,-38.262,POINT (2514703.6262744614 2359917.13182245),TYABB,3913.0
BEACONHILLS COLLEGE - VALLEY CAMPUS,SECONDARY SCHOOL,145.4673,-38.061,POINT (2541012.856257576 2382053.8570633847),PAKENHAM,3810.0
MARANATHA CHRISTIAN SCHOOL - CASEY SENIOR CAMPUS,SECONDARY SCHOOL,145.278,-37.97,POINT (2524430.3319160272 2392217.3862822475),ENDEAVOUR HILLS,3802.0
AL-TAQWA COLLEGE - MAIN CAMPUS,SECONDARY SCHOOL,144.722,-37.852,POINT (2475537.486552046 2405344.3691163138),TRUGANINA,3029.0
MOUNT SCOPUS MEMORIAL COLLEGE - MAIN CAMPUS,SECONDARY SCHOOL,145.1177,-37.847,POINT (2510365.8871264285 2405977.4512161873),BURWOOD,3128.0
METHODIST LADIES COLLEGE - MAIN CAMPUS,SECONDARY SCHOOL,145.0385,-37.813,POINT (2503389.9031102923 2409674.639982501),KEW,3122.0
AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION - SENIOR CAMPUS,SECONDARY SCHOOL,144.9586,-37.726,POINT (2496356.7074973574 2419374.6457443833),COBURG NORTH,3058.0
GEELONG LUTHERAN COLLEGE,SECONDARY SCHOOL,144.337,-38.23,POINT (2441951.824699391 2363241.4734335504),ARMSTRONG CREEK,3217.0
HEATHDALE CHRISTIAN COLLEGE,SECONDARY SCHOOL,144.6813,-37.881,POINT (2471967.2628566497 2402151.089192191),HOPPERS CROSSING,3030.0
MINARET COLLEGE - OFFICER CAMPUS,SECONDARY SCHOOL,145.411,-38.053,POINT (2536074.197545591 2382991.2862416897),OFFICER,3809.0
The Geelong College - The Geelong College Preparatory School,SECONDARY SCHOOL,144.3255,-38.144,POINT (2440872.8627929445 2372779.6224700566),NEWTOWN,3220.0
HEATHERTON CHRISTIAN COLLEGE,SECONDARY SCHOOL,145.1113,-37.957,POINT (2509787.3736069947 2393699.146335476),CLARINDA,3169.0
HENDERSON COLLEGE,SECONDARY SCHOOL,142.1592,-34.222,POINT (2238021.6067546564 2804322.581032619),IRYMPLE,3498.0
CAMBERWELL GIRLS GRAMMAR SCHOOL,SECONDARY SCHOOL,145.061,-37.816,POINT (2505370.851139329 2409422.7733583003),CANTERBURY,3126.0
WILSON PARK SECONDARY COLLEGE,SECONDARY SCHOOL,144.5686,-37.708,POINT (2461970.4657949246 2421305.8493632358),MELTON SOUTH,3338.0
FOREST HILL COLLEGE,SECONDARY SCHOOL,145.1637,-37.848,POINT (2514409.7168384865 2405824.9667688375),BURWOOD EAST,3151.0
ROWVILLE SECONDARY COLLEGE,SECONDARY SCHOOL,145.237,-37.923,POINT (2520845.213417754 2397446.0309237866),ROWVILLE,3178.0
GREENSBOROUGH SECONDARY COLLEGE,SECONDARY SCHOOL,145.0912,-37.708,POINT (2508045.7207419067 2421374.8231402),GREENSBOROUGH,3088.0
MILL PARK SECONDARY COLLEGE,SECONDARY SCHOOL,145.0634,-37.664,POINT (2505594.282086659 2426296.631141031),MILL PARK,3032.0
BRUNSWICK SECONDARY COLLEGE,SECONDARY SCHOOL,144.955,-37.77,POINT (2496036.3979433565 2414451.2364536365),BRUNSWICK,3056.0
LYNALL HALL COMMUNITY SCHOOL - THE ISLAND CAMPUS,SECONDARY SCHOOL,144.9765,-37.741,POINT (2497928.840136477 2417770.3574656583),COBURG,3058.0
OZFORD COLLEGE,SECONDARY SCHOOL,144.9544,-37.812,POINT (2495987.5325304344 2409790.9006727953),WEST MELBOURNE,3000.0
CASTLEMAINE SECONDARY COLLEGE - YAPEEN CAMPUS,SECONDARY SCHOOL,144.1883,-37.131,POINT (2427887.575170937 2485062.223058218),YAPEEN,3451.0
MELBOURNE GRAMMAR SCHOOL - SENIOR CAMPUS,SECONDARY SCHOOL,144.977,-37.833,POINT (2497983.3109115213 2407494.173208219),MELBOURNE,3004.0
MELBOURNE GRAMMAR SCHOOL - WADHURST CAMPUS,SECONDARY SCHOOL,144.9739,-37.833,POINT (2497709.5376229817 2407534.0586172845),MELBOURNE,3004.0
SIMONDS CATHOLIC COLLEGE - SIMONDS CATHOLIC COLLEGE ST BRIGIDS VCE CAMPUS,SECONDARY SCHOOL,144.9764,-37.791,POINT (2497929.352374631 2412125.655966414),FITZROY NORTH,3054.0
SAINT IGNATIUS COLLEGE GEELONG,SECONDARY SCHOOL,144.5579,-38.188,POINT (2461266.6787150246 2367988.246397502),DRYSDALE,3222.0
SIMONDS CATHOLIC COLLEGE,SECONDARY SCHOOL,144.9528,-37.805,POINT (2495851.5533832354 2410559.9748296347),NORTH MELBOURNE,3051.0
CATHOLIC COLLEGE BENDIGO,SECONDARY SCHOOL,144.2733,-36.753,POINT (2435123.0664717583 2527111.5313550364),BENDIGO,3550.0
PADUA COLLEGE - PADUA COLLEGE MORNINGTON CAMPUS,SECONDARY SCHOOL,145.072,-38.218,POINT (2506305.611015262 2364794.4049592987),MORNINGTON,3931.0
ST MONICAS COLLEGE,SECONDARY SCHOOL,145.0314,-37.655,POINT (2502771.445329184 2427294.6420468073),EPPING,3075.0
CAROLINE CHISHOLM CATHOLIC COLLEGE,SECONDARY SCHOOL,144.8501,-37.785,POINT (2486796.4927397035 2412781.4329109145),BRAYBROOK,3019.0
LAVALLA CATHOLIC COLLEGE,SECONDARY SCHOOL,146.5142,-38.2,POINT (2632640.0373703055 2365671.2058903985),TRARALGON,3844.0
ST PETERS COLLEGE - ST PETERS COLLEGE CRANBOURNE EAST CAMPUS,SECONDARY SCHOOL,145.3194,-38.114,POINT (2528017.2635611705 2376306.586288985),CLYDE NORTH,3978.0
HALLAM SENIOR SECONDARY COLLEGE - HALLAM SENIOR COLLEGE / MISSION AUSTRALIA ANNEX,SECONDARY SCHOOL,145.2385,-37.982,POINT (2520959.0752772805 2390957.013990782),DOVETON,3177.0
SURF COAST SECONDARY COLLEGE,SECONDARY SCHOOL,144.3123,-38.321,POINT (2439857.0171372425 2353090.9240413597),TORQUAY,3228.0
LAKEVIEW SENIOR COLLEGE,SECONDARY SCHOOL,144.737,-37.735,POINT (2476825.205382998 2418332.3737194054),CAROLINE SPRINGS,3023.0
CROYDON MAROONDAH COLLEGE (INTERIM NAME) - CROYDON CAMPUS,SECONDARY SCHOOL,145.2823,-37.789,POINT (2524867.064948088 2412376.49253946),CROYDON,3136.0
CROYDON MAROONDAH COLLEGE (INTERIM NAME) - MAROONDAH CAMPUS,SECONDARY SCHOOL,145.2612,-37.795,POINT (2523004.200190143 2411732.5380084254),CROYDON,3136.0
BORONIA K-12 COLLEGE - MOUNT VIEW CAMPUS,SECONDARY SCHOOL,145.3024,-37.859,POINT (2526613.494981614 2404560.8838173207),BORONIA,3154.0
CATHEDRAL COLLEGE WANGARATTA - THE CLOSE CAMPUS,SECONDARY SCHOOL,146.3213,-36.355,POINT (2618581.3565736404 2570642.3541883565),WANGARATTA,3676.0
SACRED HEART COLLEGE - SACRED HEART COLLEGE SENIOR CAMPUS,SECONDARY SCHOOL,146.0092,-36.008,POINT (2590982.1987237683 2609513.946180558),YARRAWONGA,3730.0
THE ALPINE SCHOOL - DINNER PLAIN CAMPUS,SECONDARY SCHOOL,147.2459,-37.023,POINT (2699804.1910759034 2495059.85819079),DINNER PLAIN,
THE ALPINE SCHOOL - SNOWY RIVER CAMPUS,SECONDARY SCHOOL,148.6286,-37.799,POINT (2819483.7397739557 2405201.8448325545),MARLO,
THE ALPINE SCHOOL - GNURAD GUNDIDJ CAMPUS,SECONDARY SCHOOL,142.9535,-38.158,POINT (2320649.6869174335 2369512.8289716737),GLENORMISTON SOUTH,3265.0
GREENSBOROUGH SECONDARY COLLEGE - BARJARG LODGE,SECONDARY SCHOOL,145.9766,-36.915,POINT (2587014.2935133292 2508974.1725019123),BARJARG,
NORTHCOTE HIGH SCHOOL - BOHO SOUTH CAMP,SECONDARY SCHOOL,145.7831,-36.77,POINT (2569904.993868499 2525184.2180060335),MARRAWEENEY,
WESTALL SECONDARY COLLEGE - CAMP BALOOK,SECONDARY SCHOOL,146.5639,-38.412,POINT (2636610.7084859405 2342166.6002762597),CALLIGNEE,
BRAUER SECONDARY COLLEGE - DUNKELD ANNEXE,SECONDARY SCHOOL,142.3454,-37.613,POINT (2265676.3420737074 2428702.400344165),VICTORIA VALLEY,3294.0
MOUNT WAVERLEY SECONDARY COLLEGE - LOWER HOMEBUSH,SECONDARY SCHOOL,143.5272,-37.03,POINT (2368984.1689713267 2495632.2083113864),HOMEBUSH,
MELBOURNE HIGH SCHOOL - MILLGROVE OUTDOOR EDUCATION CENTRE,SECONDARY SCHOOL,145.6438,-37.748,POINT (2556737.802448855 2416788.5495178346),MILLGROVE,3799.0
PRINCES HILL SECONDARY COLLEGE - MIRRIMBAH COUNTRY CENTRE,SECONDARY SCHOOL,146.3657,-37.107,POINT (2621375.548961359 2487187.6206415445),SAWMILL SETTLEMENT,3723.0
BELMONT HIGH SCHOOL - TANYBRYN CAMP,SECONDARY SCHOOL,143.7077,-38.656,POINT (2387489.297507778 2315330.6315705627),TANYBRYN,
