ID,Cemetery Fileno,Cemetery Name,Cemetery Trust,Address,Suburb,Postcode,Phone,Email,Fax,LGA,Region,Latitude,Longitude,Comments
34,CEM0035,BEENAK,Beenak Cemetery Trust,Beenak Road,BEENAK,3139,0403 239 888,,,SHIRE OF YARRA RANGES,Eastern Metropolitan,-37.88762,145.632415,
35,CEM0037,BELLBRAE,Bellbrae Cemetery Trust,Cemetery Road,BELLBRAE,3228,0400 322 884,,,SURF COAST SHIRE,Barwon-South Western,-38.335012,144.263962,
36,CEM0039,BENALLA,Benalla Cemetery Trust,Cemetery Lane,BENALLA,3671,0407 532 674,,,BENALLA RURAL CITY,Hume,-36.55505,145.948909,
37,CEM0040,BENAMBRA,Benambra Cemetery Trust,Benambra-Limestone Road,BENAMBRA,3900,0428 599 217,,,SHIRE OF EAST GIPPSLAND,Gippsland,-36.958786,147.713716,
38,CEM0041,BENDIGO,Remembrance Parks Central Victoria,Carpenter Street,BENDIGO,3550,1300 266 561,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.780172,144.282798,
39,CEM0043,BENDOC,Bendoc Cemetery Trust,Old Benang Bendoc Road,BENDOC,3888,0401 206 342,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.152422,148.860147,address
40,CEM0044,BERRIWILLOCK,Berriwillock Cemetery Trust,Berriwillock Woolmerang Road,BERRIWILLOCK,3531,0407 792 246,,,SHIRE OF BULOKE,Loddon Mallee,-35.636046,142.983858,address
41,CEM0045,BERWICK,Berwick and Harkaway Cemeteries Trust,Inglis Road,BERWICK,3806,0477 111 304,,,CITY OF CASEY,Southern Metropolitan,-38.025706,145.355408,
42,CEM0046,BETHANGA,Bethanga Cemetery Trust,Cemetery Lane,BETHANGA,3691,02 6026 4294,,,SHIRE OF TOWONG,Hume,-36.141264,147.084767,
43,CEM0047,BEULAH,Beulah Cemetery Trust,Birchip Road,BEULAH,3395,0427 902 402,,,SHIRE OF YARRIAMBIACK,Grampians,-35.933138,142.450412,address
44,CEM0048,BIRCHIP,Birchip Cemetery Trust,Campbells Street,BIRCHIP,3483,0429 922 735,,,SHIRE OF BULOKE,Loddon Mallee,-35.981223,142.899828,
45,CEM0050,BLACKHEATH (SAILORS HOME),Blackheath Cemetery Trust,Old Minyip Road,NHILL,3418,,tony.schneider@hrcc.vic.gov.au,,RURAL CITY OF HORSHAM,Grampians,-36.46966,142.28377,
46,CEM0051,BLACKWOOD,Blackwood Cemetery Trust,Byers Road,BLACKWOOD,3458,5368 6792,,,SHIRE OF MOORABOOL,Grampians,-37.474661,144.3071,
47,CEM0052,BLEAK HOUSE,Bleak House Cemetery Trust,Sandsmere Road,NHILL,3418,,hboyd@hindmarsh.vic.gov.au,,SHIRE OF HINDMARSH,Grampians,-36.269622,141.468699,
48,CEM0053,BLUE MOUNTAIN,Blue Mountain Cemetery Trust,Trentham Myrniong Road,TRENTHAM,3458,5422 0371,,,SHIRE OF HEPBURN,Grampians,-37.428881,144.298636,
49,CEM0054,BOINKA,Boinka Cemetery Trust,Mallee Highway,BOINKA,3490,5095 6263,,,RURAL CITY OF MILDURA,Loddon Mallee,-35.19388,141.596058,
50,CEM0056,BONNIE DOON,Mansfield Cemetery Trust,Cnr Wilson and Maroondah Highway,BONNIE DOON,3720,5575 8555,,,SHIRE OF MANSFIELD,Hume,-37.025762,145.859986,
51,CEM0058,BOOLARRA,Boolarra Cemetery Trust,Barktown Road,BOOLARRA,3870,0408 337 764,,,CITY OF LATROBE,Gippsland,-38.394207,146.267476,
52,CEM0059,BOORHAMAN,Boorhaman Cemetery Trust,Cemetery Lane,BOORHAMAN,3678,0429 703 174,,,WANGARATTA RURAL CITY,Hume,-36.228185,146.272941,
53,CEM0060,BOORT,Boort Cemetery Trust,Wycheproof Road,BOORT,3537,0428 543 202,,,SHIRE OF LODDON,Loddon Mallee,-36.101511,143.700479,
54,CEM0062,BORAM BORAM,Boram Boram Cemetery Trust,Cemetery Lane,PENSHURST,3289,0407 781 407,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.837206,142.277124,
55,CEM0063,BOROONDARA,Boroondara Cemetery Trust,High Street,KEW,3101,0438 402 933,,,CITY OF BOROONDARA,Eastern Metropolitan,-37.803127,145.043646,
56,CEM0064,BOWMAN'S FOREST,Bowman's Forest Cemetery Trust,Great Alpine Road,BOWMANS FOREST,3735,0488 271 327,,,WANGARATTA RURAL CITY,Hume,-36.46891,146.585954,
57,CEM0065,BOX HILL,Box Hill Cemetery Trust,Middleborough Road,BOX HILL CENTRAL,3128,9890 1229,,,CITY OF WHITEHORSE,Eastern Metropolitan,-37.822625,145.136323,
58,CEM0066,BRANXHOLME,Branxholme Cemetery Trust,Henty Road,BRANXHOLME,3302,5578 6233,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.839687,141.82964,
59,CEM0067,BRIAGOLONG,Briagolong Cemetery Trust,Boundary and Cemetery Roads,BRIAGOLONG,3860,5145 5253,,,SHIRE OF WELLINGTON,Gippsland,-37.856679,147.091237,
60,CEM0068,BRIDGEWATER,Bridgewater Cemetery Trust,Cemetery Access,BRIDGEWATER,3516,0423 901 868,,,SHIRE OF LODDON,Loddon Mallee,-36.59141,143.944206,
61,CEM0069,BRIDGEWATER (OLD),Bridgewater Cemetery Trust,Wingfield Road,BRIDGEWATER,3516,0423 901 868,,,SHIRE OF LODDON,Loddon Mallee,-36.610135,143.947648,
62,CEM0070,BRIGHT,Bright Cemetery Trust,Coronation Avenue,BRIGHT,3741,0408 519 858,,,SHIRE OF ALPINE,Hume,-36.733769,146.965074,
63,CEM0071,BRIGHTON GENERAL,Southern Metropolitan Cemeteries Trust,North Road,CAULFIELD SOUTH,3162,8558 8278,,,CITY OF GLEN EIRA,Southern Metropolitan,-37.899577,145.021405,
64,CEM0072,BRIM,Brim Cemetery Trust,Brimeast Road,BRIM,3391,0427 535 147,,,SHIRE OF YARRIAMBIACK,Grampians,-36.069896,142.430476,
65,CEM0073,BRIMPAEN,Brimpaen Cemetery Trust,Brimpaen Cemetery Road,MOCKINYA,3401,0428 839 208,,,RURAL CITY OF HORSHAM,Grampians,-37.053436,142.236258,
66,CEM0074,BROADFORD,Broadford Cemetery Trust,Piper Street,BROADFORD,3658,0491 474 760,,,SHIRE OF MITCHELL,Hume,-37.199142,145.047134,
67,CEM0075,BRUTHEN,Bruthen Cemetery Trust,Delahunty Street,BRUTHEN,3885,0427 575 236,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.697368,147.835749,
68,CEM0076,BUANGOR,Buangor Cemetery Trust,Challicum Road,BUANGOR,3375,,mandmfay@gmail.com,,RURAL CITY OF ARARAT,Grampians,-37.37219,143.160996,mobile
69,CEM0077,BUCHAN,Buchan Cemetery Trust,Timbarra Settlement Road,BUCHAN,3885,0427 559 433,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.526996,148.159771,
70,CEM0078,BUCKLAND,Buckland Cemetery Trust,Buckland Valley Road,BUCKLAND,3740,,sascha@alpineshire.vic.gov.au,,SHIRE OF ALPINE,Hume,-36.824695,146.851647,
71,CEM0080,BULLA,Bulla Cemetery Trust,Cemetery Lane,BULLA,3428,0480 140 513,,,CITY OF HUME,North and West Metropolitan,-37.637711,144.830557,
72,CEM0081,BULLARTO,Bullarto Cemetery Trust,Cantillons Road,BULLARTO,3461,5321 6431,,,SHIRE OF HEPBURN,Grampians,-37.403982,144.212007,
73,CEM0082,BUMBERRAH,Bumberrah Cemetery Trust,Harmans and Simms Roads,BUMBERRAH,3902,0417 241 562,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.817805,147.806367,
74,CEM0083,BUNDALONG,Yarrawonga & District Cemetery Trust,On the Murray Valley Highway,BUNDALONG SOUTH,3730,0427 883 264,,,SHIRE OF MOIRA,Hume,-36.023875,146.104749,
75,CEM0086,BUNG BONG/WAREEK,Bung Bong/Wareek Cemetery Trust,Gordon Road,WAREEK,3465,0418 510 026,,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-37.042535,143.585928,
76,CEM0087,BUNGAREE,Bungaree Cemetery Trust,Creswick Road,POOTILLA,3352,0429 345 336,,,SHIRE OF MOORABOOL,Grampians,-37.523338,143.970543,
77,CEM0088,BUNINYONG,Buninyong Cemetery Trust,7621 Midland Highway,BUNINYONG,3357,0432 877 439,,,CITY OF BALLARAT,Grampians,-37.640436,143.852809,
78,CEM0089,BUNURONG MEMORIAL PARK,Southern Metropolitan Cemeteries Trust,Frankston-Dandenong Road,BANGHOLME,3175,8558 8278,,,CITY OF GREATER DANDENONG,Southern Metropolitan,-38.064487,145.198015,
79,CEM0090,BUNYIP,Bunyip Cemetery Trust,Hope Street,BUNYIP,3815,0499 295 772,,,SHIRE OF CARDINIA,Southern Metropolitan,-38.083768,145.71661,
80,CEM0091,BURRAMINE,Yarrawonga & District Cemetery Trust,Forges Road,BURRAMINE SOUTH,3730,0427 883 264,,,SHIRE OF MOIRA,Hume,-35.995853,145.91487,
81,CEM0092,BURRUM BURRUM (also Banyena),Burrum Burrum Cemetery Trust,Donald Glenorchy Road,BANYENA,3388,0429 855 449,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-36.568397,142.81199,
82,CEM0093,BURWOOD,Greater Metropolitan Cemeteries Trust,Burwood Highway,BURWOOD,3125,1300 022 298,,,CITY OF WHITEHORSE,Eastern Metropolitan,-37.852461,145.100587,
83,CEM0094,BYADUK,Byaduk Cemetery Trust,Cemetery Road,BYADUK,3301,0407 845 741,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.947941,141.963887,
84,CEM0095,BYADUK NORTH,Byaduk North Cemetery Trust,Byaduk Caves Road,BYADUK NORTH,3300,5578 8257,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.886369,141.96123,
85,CEM0096,CAMPERDOWN,Camperdown Cemetery Trust,Cemetery Road,CAMPERDOWN,3260,,camperdowncemetery@outlook.com,,SHIRE OF CORANGAMITE,Barwon-South Western,-38.218416,143.115917,
86,CEM0097,CANN RIVER,Cann River Cemetery Trust,Cemetery Track,CANN RIVER,3890,0400 927 091,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.565078,149.162604,
87,CEM0098,CAPE BRIDGEWATER,Cape Bridgewater Cemetery Trust,Capebridgewater Lakes Road,PORTLAND,3305,5526 7201,,,SHIRE OF GLENELG,Barwon-South Western,-38.339021,141.430147,
88,CEM0099,CAPE CLEAR,Cape Clear Cemetery Trust,Cemetery Road,CAPE CLEAR,3351,,bombard170@gmail.com,,SHIRE OF GOLDEN PLAINS,Grampians,-37.792248,143.59669,
89,CEM0101,CARAMUT,Caramut Cemetery Trust,Hamilton Highway,CARAMUT,3274,0423 690 020,,,SHIRE OF MOYNE,Barwon-South Western,-37.945889,142.511905,address
90,CEM0102,CARISBROOK,Carisbrook Cemetery Trust,Majorca Road,CARISBROOK,3464,0419 892 257,,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-37.066579,143.804311,
91,CEM0104,CARLSRUHE,Carlsruhe Cemetery Trust,Carlsruhe-Cemetery Road,CARLSRUHE,3442,0488 075 150,,,SHIRE OF MACEDON RANGES,Loddon Mallee,-37.295791,144.517915,
92,CEM0105,CARLYLE,Carlyle Cemetery Trust,Distillery Road,WAHGUNYAH,3687,,info@indigoshire.vic.gov.au,,SHIRE OF INDIGO,Hume,-36.023884,146.392358,address
93,CEM0107,CARNGHAM,Carngham Cemetery Trust,Cemetery Hill and Carngham Roads,SNAKE VALLEY,3351,0429 449 486,,,SHIRE OF PYRENEES,Grampians,-37.571352,143.571092,
94,CEM/11/9,CARRAJUNG,Carrajung Cemetery Trust,Willis Road,CARRAJUNG,3844,,nevchisel@gmail.com,,SHIRE OF WELLINGTON,Gippsland,-38.38614,146.733827,
95,CEM0108,CARWARP,Carwarp Cemetery Trust,Birkins Road,CARWARP,3494,0427 293 236,,,RURAL CITY OF MILDURA,Loddon Mallee,-34.439677,142.22047,address
96,CEM0109,CASSILIS,Cassilis Cemetery Trust,Omeo-Swifts Creek & Cassilis Road,CASSILIS,3898,0425 850 148,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.22939,147.614269,
97,CEM0110,CASTERTON (NEW),Casterton (New) Cemetery Trust,Cemetery Road,CASTERTON,3311,0418 375 487,,,SHIRE OF GLENELG,Barwon-South Western,-37.60018,141.408638,
98,CEM0111,CASTERTON (OLD),Casterton (Old) Cemetery Trust,Old Cemetery Road,CASTERTON,3311,,dhol@glenelg.vic.gov.au,,SHIRE OF GLENELG,Barwon-South Western,-37.595791,141.369912,address
99,CEM0112,CASTLEMAINE,Castlemaine Public Cemetery Trust,Cemetery Road,CAMPBELLS CREEK,3451,0417 536 539,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.093614,144.199409,address
100,CEM0113,CATHCART,Cathcart Cemetery Trust,Phillips Flat Road,CATHCART,3377,0427 889 014,,,RURAL CITY OF ARARAT,Grampians,-37.320179,142.888656,
101,CEM0114,CAVENDISH,Cavendish Cemetery Trust,Cavendish Cemetery Road,CAVENDISH,3314,0428 527 922,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.514506,142.03543,
102,CEM0115,CHARLTON,Charlton Cemetery Trust,Borung Highway,CHARLTON,3525,5491 5210,,,SHIRE OF BULOKE,Loddon Mallee,-36.263624,143.329917,address
103,CEM0116,CHELTENHAM MEMORIAL,Southern Metropolitan Cemeteries Trust,Reserve Road,CHELTENHAM,3192,8558 8278,,,CITY OF BAYSIDE,Southern Metropolitan,-37.959611,145.033146,
104,CEM0116-01,CHELTENHAM PIONEER,Southern Metropolitan Cemeteries Trust,Wangara Road,CHELTENHAM,3192,8558 8278,,,CITY OF BAYSIDE,Southern Metropolitan,-37.967537,145.054164,
105,CEM0117,CHETWYND,Chetwynd Cemetery Trust,Cemetery Lane,CHETWYND,3312,5583 1502,,,SHIRE OF WEST WIMMERA,Grampians,-37.278932,141.394404,
106,CEM0118,CHEWTON,Chewton Cemetery Trust,Sparks (Pyreness HWY) Road,CHEWTON,3451,5472 1686,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.083676,144.277414,
107,CEM0119,CHILTERN,Chiltern Cemetery Trust,Cemetery Road,CHILTERN,3683,,chilterncemetery@gmail.com,,SHIRE OF INDIGO,Hume,-36.145239,146.592026,
108,CEM0120,CHILTERN (OLD),Chiltern (Old) Cemetery,Railway acess / Wenkes Roads,CHILTERN,3683,,info@indigoshire.vic.gov.au,,SHIRE OF INDIGO,Hume,-36.163705,146.566077,
109,CEM0194,CHINKAPOOK,Chinkapook Cemetery Trust,Old Manangatang Road,CHINKAPOOK,3546,5032 5690,,,RURAL CITY OF SWAN HILL,Loddon Mallee,-35.184156,142.944657,
110,CEM0122,CLARENDON,Clarendon Cemetery Trust,Midland Highway,CLARENDON,3352,,robertjbowers@gmail.com,,SHIRE OF MOORABOOL,Grampians,-37.705789,143.980436,
111,CEM0123,CLEAR LAKE,Clear Lake Cemetery Trust,Sherewoods Dam Road,CLEAR LAKE,3401,0427 861 361,,,RURAL CITY OF HORSHAM,Grampians,-36.92052,141.85786,
112,CEM0124,CLUNES,Clunes Cemetery Trust,Cemetery Road,CLUNES,3370,,barrycharleslaws@bigpond.com,,SHIRE OF HEPBURN,Grampians,-37.294545,143.755899,
113,CEM0125,COBDEN,Cobden Cemetery Trust,Cemetery Lane,COBDEN,3266,0417 369 457,,,SHIRE OF CORANGAMITE,Barwon-South Western,-38.30006,143.08643,
114,CEM0126,COBRAM,Cobram Cemetery Trust,Cemetery Road,COBRAM,3643,0439 711 563,,,SHIRE OF MOIRA,Hume,-35.964017,145.715433,
115,CEM0127,COBURG,Greater Metropolitan Cemeteries Trust,Bell Street,COBURG,3058,1300 022 298,,,CITY OF DAREBIN,North and West Metropolitan,-37.742265,144.98225,
116,CEM0128,COHUNA,Cohuna Cemetery Trust,Western Road,COHUNA,3568,0428 562 339,,,SHIRE OF GANNAWARRA,Loddon Mallee,-35.803433,144.209345,address
117,CEM0649,COLAC,Geelong Cemeteries Trust,Gravesend Street,COLAC,3250,5249 3939,,,SHIRE OF COLAC-OTWAY,Barwon-South Western,-38.351403,143.585114,
118,CEM0129,COLBINABBIN,Colbinabbin Cemetery Trust,Cemetery Road,COLBINABBIN,3559,,colbinabbincemeterytrust@gmail.com,,SHIRE OF CAMPASPE,Loddon Mallee,-36.594799,144.801123,
119,CEM0130,COLERAINE,Coleraine Cemetery Trust,Lower Hilgay Road,COLERAINE,3315,5575 2144,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.598291,141.663066,
120,CEM0131,CONCONGELLA,Concongella Cemetery Trust,Landsborough Road,CONCONGELLA,3381,5358 3274,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-37.054152,142.824676,
121,CEM0133,CONDAH,Condah Cemetery Trust,Cemetery Road,MYAMYN,3304,5578 2244,,,SHIRE OF GLENELG,Barwon-South Western,-37.963466,141.733337,
122,CEM0134,COONGULMERANG,Coongulmerang Cemetery Trust,Lindenow South Road,COONGULMERANG,3875,5157 1260,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.821276,147.434251,"Also called ""Lindenow South (Coongulmerang) Cemetery"""
123,CEM0135,CORACK,Corack Cemetery Trust,High Road,CORACK,3480,0448 802 400,,,SHIRE OF BULOKE,Loddon Mallee,-36.155271,142.948315,
124,CEM0137,CORINELLA,Corinella Cemetery Trust,Corinella Road,CORINELLA,3984,0411 565 691,,,BASS COAST SHIRE,Gippsland,-38.436153,145.485092,
125,CEM0138,COROP,Corop Cemetery Trust,Three Chain Road,COROP,3559,0409 505 986,,,SHIRE OF CAMPASPE,Loddon Mallee,-36.454005,144.749028,
126,CEM0139,CORRYONG,Corryong Cemeteries Trust,Pioneer Avenue,CORRYONG,3707,02 6071 5100,,,SHIRE OF TOWONG,Hume,-36.203571,147.897205,
127,CEM0140,COWANGIE,Cowangie Cemetery Trust,McKees Road,COWANGIE,3506,,beersrus6@bigpond.com,,RURAL CITY OF MILDURA,Loddon Mallee,-35.242043,141.363215,
128,CEM0141,CRANBOURNE,Cranbourne Cemetery Trust,Cnr Sladen & Cemetery Roads,CRANBOURNE,3977,,crancem@outlook.com,,CITY OF CASEY,Southern Metropolitan,-38.113414,145.271777,
129,CEM0142,CRESSY,Cressy Cemetery Trust,Cemetery Road,CRESSY,3322,0409 388 160,,,SHIRE OF COLAC-OTWAY,Barwon-South Western,-38.033838,143.623466,
130,CEM0143,CRESWICK,Creswick Cemetery Trust,Clunes Road,CRESWICK NORTH,3363,0412 382 267,,,SHIRE OF HEPBURN,Grampians,-37.40343,143.886183,"CA number shown is incorrect; should be CA 15, Section 47 for old cemetery reserve and CA 2029 for new reserve."
131,CEM0144,CRIB POINT,Crib Point Cemetery Trust,Disney Street,CRIB POINT,3919,,roger.stanley3@bigpond.com,,SHIRE OF MORNINGTON PENINSULA,Southern Metropolitan,-38.354039,145.187958,
132,CEM0145,CROWLANDS,Crowlands Cemetery Trust,Cemetery Road,CROWLANDS,3377,5354 9251,,,SHIRE OF PYRENEES,Grampians,-37.13635,143.122535,
133,CEM0146,CUDGEWA WABBA,Cudgewa Cemetery Trust,Watchupga Road,CUDGEWA,3705,,land1199@bigpond.com,,SHIRE OF TOWONG,Hume,-36.206314,147.795055,address
134,CEM0147,CULGOA (KANIERA),Culgoa Cemetery Trust,Watchupga Road,CULGOA,3530,,bj.mcnamara@hotmail.com,,SHIRE OF BULOKE,Loddon Mallee,-35.719485,143.095511,
135,CEM0149,DAHWEDARRE (YANAC NORTH),Dahwedarre Cemetery Trust,Dahwedarre-Cemetery Road,YANAC,3418,0428 928 228,,,SHIRE OF HINDMARSH,Grampians,-36.12945,141.384605,
136,CEM0150,DANDENONG COMMUNITY,Southern Metropolitan Cemeteries Trust,Kirkham Road,DANDENONG,3175,8558 8278,,,CITY OF GREATER DANDENONG,Southern Metropolitan,-38.000456,145.214387,address
137,CEM0151,DARGO,Dargo Cemetery Trust,Cemetery Road,DARGO,3862,,dargocemeterytrust@gmail.com,,SHIRE OF WELLINGTON,Gippsland,-37.460097,147.248644,address
138,CEM0152,DARLINGTON,Darlington Cemeteries Trust,Hamilton Highway,DARLINGTON,3271,,mjj2@bigpond.com,,SHIRE OF MOYNE,Barwon-South Western,-38.001147,143.046837,
139,CEM0153,DARRAWEIT GUIM,Darraweit Guim Cemetery Trust,Glendonald Road,DARRAWEIT GUIM,3756,,adbpike@optusnet.com.au,,SHIRE OF MACEDON RANGES,Loddon Mallee,-37.404365,144.892098,address
140,CEM0154,DARTMOOR,Dartmoor Cemetery Trust,Bowds Lane,DARTMOOR,3304,5528 1248,,,SHIRE OF GLENELG,Barwon-South Western,-37.914822,141.249138,address
141,CEM0155,DAYLESFORD,Daylesford Cemetery Trust,Trentham Road,DAYLESFORD,3460,0478 803 170,,,SHIRE OF HEPBURN,Grampians,-37.342025,144.170094,
142,CEM0156,DEEP LEAD,Deep Lead Cemetery Trust,Oxford Street,DEEP LEAD,3381,5358 2867,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-37.021514,142.718139,
